cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,3,1,0,0,1,0,0,3,1,2,4,2,3,14,10,0,0,0,3,3,7,10,10,29,25,0,35,7,2,13,55,0.3153,0.245921,0.317666,0.327354,0.281143,0.501823,0.372262,0.40603,0.38448,0.38016,0.217678,0.214808,0.614594,0.38189,315.43
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,3,3,4,2,0,11,8,0,0,0,4,5,7,5,1,29,76,2,30,5,0,9,62,0.484469,0.785784,0.792378,0.189137,0.295397,0.345883,0.370534,0.24564,0.45808,0.47779,0.445614,0.443374,0.339244,0.811234,611.74
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,1,3,4,0,0,11,8,3,0,0,7,6,6,4,1,29,93,2,38,26,0,7,159,0.606064,0.358319,0.506105,0.849584,0.643315,0.433999,0.42533,0.46477,0.46853,0.56627,0.678924,0.665644,0.282249,0.759924,506.76
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,0,0,2,1,1,1,0,0,0,1,0,2,3,3,4,6,0,11,8,2,0,0,8,6,4,4,3,29,49,0,46,42,0,8,213,0.576644,0.15999,0.419161,0.318422,0.281143,0.656879,0.973944,0.38318,0.57095,0.53881,0.748766,0.735834,0.298734,0.296819,602.57
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,3,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,8,0,0,0,6,4,6,12,10,29,55,0,19,9,4,15,156,0.298041,0.737068,0.280933,0.364302,0.397069,0.666096,0.483379,0.36083,0.37853,0.52775,0.4922,0.481306,0.753989,0.715392,525.37
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,1,2,4,2,3,14,9,0,0,1,6,4,5,9,10,29,7,0,8,9,0,13,156,0.438385,0.422197,0.280933,0.364302,0.348388,0.704364,0.562866,0.34987,0.44767,0.53881,0.4922,0.481306,0.654753,0.237625,575.07
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,0,2,1,3,1,0,0,0,0,0,3,1,2,4,2,3,14,11,2,0,0,11,4,5,10,10,38,25,4,46,51,0,16,247,0.538034,0.245921,0.094942,0.62377,0.585792,0.748243,0.549955,0.66201,0.58325,0.42828,0.625936,0.612906,0.770888,0.301449,340.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,2,3,3,4,0,0,11,0,0,0,0,5,4,6,5,3,29,52,0,30,37,4,8,130,0.484469,0.15999,0.506105,0.252014,0.281143,0.466591,0.734152,0.39455,0.456,0.47225,0.441763,0.432101,0.318646,0.825954,503.14
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,1,4,3,2,2,4,4,3,14,5,0,0,2,3,3,9,9,10,2,93,0,40,29,0,13,55,0.364686,0.422197,0.440642,0.195483,0.430765,0.358222,0.390893,0.26847,0.38846,0.43919,0.25418,0.250169,0.617748,0.490869,403.68
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,3,1,0,1,1,1,0,0,0,6,4,3,3,3,4,0,0,11,8,0,0,0,6,6,5,5,1,29,52,2,24,43,0,9,153,0.587928,0.785784,0.711159,0.782772,0.560299,0.537037,0.523701,0.45883,0.4937,0.52775,0.742852,0.729856,0.379109,0.329067,324.23
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,0,1,3,1,0,0,0,6,4,3,3,2,4,0,3,14,5,0,0,0,10,5,4,9,4,29,89,0,19,14,4,13,235,0.69163,0.245921,0.26357,0.309621,0.281143,0.883317,0.865322,0.28768,0.64296,0.8351,0.784967,0.785706,0.837535,0.725056,591.29
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,3,1,2,1,3,1,0,0,0,0,0,3,3,2,4,4,3,14,9,0,0,0,4,4,9,10,10,29,87,0,35,32,4,14,68,0.29201,0.199504,0.462347,0.267727,0.602545,0.340317,0.386203,0.47669,0.25753,0.27777,0.324486,0.318249,0.569546,0.388648,333.34
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,3,3,6,4,0,11,8,0,0,0,2,3,8,6,1,29,93,2,19,4,0,9,27,0.305371,0.620805,0.819748,0.383428,0.771202,0.274644,0.42533,0.36083,0.38249,0.31003,0.169206,0.167768,0.293178,0.715511,350.0
0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,3,3,4,0,0,11,8,7,0,0,6,6,5,4,1,29,89,0,46,50,0,8,148,0.630691,0.737068,0.57136,0.705434,0.758711,0.507409,0.471805,0.55421,0.66201,0.60401,0.588753,0.630853,0.348267,0.294139,239.34
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,9,0,0,0,6,4,6,10,10,29,55,0,32,4,4,12,148,0.458463,0.488789,0.54977,0.327354,0.718531,0.707294,0.560436,0.35533,0.38249,0.74817,0.622276,0.609277,0.731059,0.206218,460.07
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,2,1,0,1,3,1,0,0,0,6,4,3,3,2,4,2,3,14,12,0,0,0,6,5,6,10,10,29,89,0,30,4,4,12,148,0.458463,0.422197,0.61366,0.327354,0.732367,0.697709,0.538939,0.35533,0.38249,0.73971,0.661688,0.648446,0.736269,0.820594,588.78
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,0,1,1,1,0,0,0,6,4,3,3,3,4,4,0,11,8,3,0,0,4,5,8,6,1,29,52,0,8,32,0,10,68,0.351358,0.737068,0.506105,0.267727,0.911073,0.32337,0.331769,0.44697,0.32128,0.28677,0.341813,0.335036,0.345247,0.245364,546.59
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,3,1,1,2,1,1,1,0,0,0,1,4,3,3,2,6,4,0,10,5,0,0,1,3,3,8,7,1,29,89,0,22,35,0,10,88,0.29201,0.785784,0.634224,0.62377,0.281143,0.314937,0.405557,0.67263,0.38249,0.29595,0.228492,0.225288,0.363547,0.311589,463.97
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,1,1,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,10,0,1,0,5,4,5,9,4,29,3,0,46,42,8,13,131,0.397499,0.358319,0.65431,0.284048,0.302678,0.753304,0.828909,0.53046,0.479,0.56081,0.550529,0.538473,0.648701,0.296886,381.86
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,3,1,3,2,1,1,1,0,0,0,0,0,3,3,3,4,4,0,11,6,0,0,0,3,4,9,6,1,29,93,0,8,35,2,10,39,0.347403,0.785784,0.61366,0.473202,0.939556,0.242437,0.289949,0.24564,0.30859,0.32935,0.223038,0.220003,0.333292,0.230365,471.32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,0,0,3,3,2,6,4,0,10,10,0,0,0,2,3,8,7,1,29,55,0,14,35,4,11,87,0.284869,0.681761,0.61366,0.514031,0.281143,0.287716,0.446198,0.67263,0.38249,0.26029,0.169206,0.167768,0.363547,0.28337,462.43
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,3,3,2,1,3,1,0,0,0,0,0,3,3,2,4,2,3,14,9,2,0,0,5,5,6,8,10,29,52,0,31,32,0,12,131,0.484469,0.488789,0.792378,0.275813,0.800402,0.629906,0.621777,0.51256,0.42084,0.57172,0.644013,0.630853,0.614594,0.74049,411.58
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,3,3,0,1,2,1,2,1,0,0,0,0,0,2,3,4,4,6,4,12,8,0,0,0,6,3,6,8,5,29,55,6,46,51,0,12,144,0.66248,0.737068,0.215772,0.679338,0.38056,0.674155,0.44376,0.5245,0.68419,0.72223,0.359572,0.352251,0.689974,0.296724,352.18
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,3,1,0,0,2,1,3,1,2,0,0,0,0,2,1,2,4,4,2,14,10,0,0,0,4,4,9,6,6,29,0,2,35,35,0,14,62,0.667647,0.358319,0.317666,0.534409,0.281143,0.292074,0.269473,0.566,0.69676,0.20496,0.251234,0.247316,0.506666,0.376957,515.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,0,1,1,1,0,0,0,6,4,3,3,3,4,2,0,11,11,3,0,0,4,4,8,5,1,29,38,0,19,4,0,9,58,0.470002,0.15999,0.440642,0.267727,0.422268,0.287716,0.357736,0.26847,0.39447,0.37493,0.275431,0.270746,0.310026,0.740004,315.64
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,1,1,2,1,1,1,0,0,0,1,4,3,3,2,4,4,0,10,5,2,0,0,3,4,10,9,1,29,55,0,35,22,0,12,39,0.220528,0.827585,0.506105,0.422727,0.525831,0.233692,0.268697,0.70342,0.30859,0.2123,0.197173,0.194925,0.41743,0.396839,594.86
