cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,A,E,F,H,F,B,BI,DM,C,E,AF,A,K,DJ,0.484469,0.785784,0.792378,0.189137,0.295397,0.345883,0.370534,0.24564,0.45808,0.47779,0.445614,0.443374,0.339244,0.811234,611.74
A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,A,A,P,I,D,A,A,H,G,G,E,B,BI,EG,C,M,BC,A,I,HY,0.606064,0.358319,0.506105,0.849584,0.643315,0.433999,0.42533,0.46477,0.46853,0.56627,0.678924,0.665644,0.282249,0.759924,506.76
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,B,A,C,D,D,E,G,A,P,I,C,A,A,I,G,E,E,D,BI,CI,A,U,H,A,J,KR,0.576644,0.15999,0.419161,0.318422,0.281143,0.656879,0.973944,0.38318,0.57095,0.53881,0.748766,0.735834,0.298734,0.296819,602.57
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,D,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,G,E,G,M,K,BI,CO,A,AS,AJ,E,Q,HV,0.298041,0.737068,0.280933,0.364302,0.397069,0.666096,0.483379,0.36083,0.37853,0.52775,0.4922,0.481306,0.753989,0.715392,525.37
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,J,A,A,B,G,E,F,J,K,BI,AI,A,AH,AJ,A,O,HV,0.438385,0.422197,0.280933,0.364302,0.348388,0.704364,0.562866,0.34987,0.44767,0.53881,0.4922,0.481306,0.654753,0.237625,575.07
A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,L,C,A,A,L,E,F,K,K,BU,BC,E,U,S,A,R,ME,0.538034,0.245921,0.094942,0.62377,0.585792,0.748243,0.549955,0.66201,0.58325,0.42828,0.625936,0.612906,0.770888,0.301449,340.0
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,A,A,A,A,F,E,G,F,D,BI,CL,A,E,BO,E,J,GR,0.484469,0.15999,0.506105,0.252014,0.281143,0.466591,0.734152,0.39455,0.456,0.47225,0.441763,0.432101,0.318646,0.825954,503.14
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,C,C,E,E,D,T,F,A,A,C,D,D,J,J,K,AB,EG,A,O,BG,A,O,DC,0.364686,0.422197,0.440642,0.195483,0.430765,0.358222,0.390893,0.26847,0.38846,0.43919,0.25418,0.250169,0.617748,0.490869,403.68
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,D,D,E,A,A,P,I,A,A,A,G,G,F,F,B,BI,CL,C,AX,I,A,K,HQ,0.587928,0.785784,0.711159,0.782772,0.560299,0.537037,0.523701,0.45883,0.4937,0.52775,0.742852,0.729856,0.379109,0.329067,324.23
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,A,D,T,F,A,A,A,K,F,E,J,E,BI,EB,A,AS,AO,E,O,LO,0.69163,0.245921,0.26357,0.309621,0.281143,0.883317,0.865322,0.28768,0.64296,0.8351,0.784967,0.785706,0.837535,0.725056,591.29
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,J,A,A,A,E,E,J,K,K,BI,E,A,J,BJ,E,P,DP,0.29201,0.199504,0.462347,0.267727,0.602545,0.340317,0.386203,0.47669,0.25753,0.27777,0.324486,0.318249,0.569546,0.388648,333.34
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,G,E,A,P,I,A,A,A,C,D,I,G,B,BI,EG,C,AS,AE,A,K,BV,0.305371,0.620805,0.819748,0.383428,0.771202,0.274644,0.42533,0.36083,0.38249,0.31003,0.169206,0.167768,0.293178,0.715511,350.0
A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,I,I,A,A,G,G,F,E,B,BI,EB,A,U,Q,A,J,HK,0.630691,0.737068,0.57136,0.705434,0.758711,0.507409,0.471805,0.55421,0.66201,0.60401,0.588753,0.630853,0.348267,0.294139,239.34
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,A,A,A,G,E,G,K,K,BI,CO,A,G,AE,E,N,HK,0.458463,0.488789,0.54977,0.327354,0.718531,0.707294,0.560436,0.35533,0.38249,0.74817,0.622276,0.609277,0.731059,0.206218,460.07
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,C,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,M,A,A,A,G,F,G,K,K,BI,EB,A,E,AE,E,N,HK,0.458463,0.422197,0.61366,0.327354,0.732367,0.697709,0.538939,0.35533,0.38249,0.73971,0.661688,0.648446,0.736269,0.820594,588.78
B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,E,A,P,I,D,A,A,E,F,I,G,B,BI,CL,A,AH,BJ,A,L,DP,0.351358,0.737068,0.506105,0.267727,0.911073,0.32337,0.331769,0.44697,0.32128,0.28677,0.341813,0.335036,0.345247,0.245364,546.59
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,C,G,E,A,N,F,A,A,B,D,D,I,H,B,BI,EB,A,AV,BM,A,L,EL,0.29201,0.785784,0.634224,0.62377,0.281143,0.314937,0.405557,0.67263,0.38249,0.29595,0.228492,0.225288,0.363547,0.311589,463.97
A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,K,A,B,A,F,E,F,J,E,BI,AC,A,U,H,J,O,GS,0.397499,0.358319,0.65431,0.284048,0.302678,0.753304,0.828909,0.53046,0.479,0.56081,0.550529,0.538473,0.648701,0.296886,381.86
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,A,A,A,D,E,J,G,B,BI,EG,A,AH,BM,C,L,CK,0.347403,0.785784,0.61366,0.473202,0.939556,0.242437,0.289949,0.24564,0.30859,0.32935,0.223038,0.220003,0.333292,0.230365,471.32
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,G,E,A,N,K,A,A,A,C,D,I,H,B,BI,CO,A,AN,BM,E,M,EK,0.284869,0.681761,0.61366,0.514031,0.281143,0.287716,0.446198,0.67263,0.38249,0.26029,0.169206,0.167768,0.363547,0.28337,462.43
B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,D,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,C,A,A,F,F,G,I,K,BI,CL,A,F,BJ,A,N,GS,0.484469,0.488789,0.792378,0.275813,0.800402,0.629906,0.621777,0.51256,0.42084,0.57172,0.644013,0.630853,0.614594,0.74049,411.58
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,D,B,A,D,D,A,B,C,B,C,B,A,A,A,A,A,C,D,E,E,G,E,R,I,A,A,A,G,D,G,I,F,BI,CO,G,U,S,A,N,HG,0.66248,0.737068,0.215772,0.679338,0.38056,0.674155,0.44376,0.5245,0.68419,0.72223,0.359572,0.352251,0.689974,0.296724,352.18
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,B,A,A,C,B,D,B,D,A,A,A,A,C,B,C,E,E,C,T,K,A,A,A,E,E,J,G,G,BI,A,C,J,BM,A,P,DJ,0.667647,0.358319,0.317666,0.534409,0.281143,0.292074,0.269473,0.566,0.69676,0.20496,0.251234,0.247316,0.506666,0.376957,515.0
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,L,D,A,A,E,E,I,F,B,BI,BT,A,AS,AE,A,K,DF,0.470002,0.15999,0.440642,0.267727,0.422268,0.287716,0.357736,0.26847,0.39447,0.37493,0.275431,0.270746,0.310026,0.740004,315.64
