loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
35000.0, 60 months,20.5,937.06,E,E4,8 years,MORTGAGE,120000.0,Source Verified,debt_consolidation,35.69,700.0,704.0,25.0,0.0,13993.0,32.2,54.0,Fully Paid
5475.0, 36 months,18.99,200.67,E,E1,10+ years,MORTGAGE,108000.0,Verified,debt_consolidation,33.47,670.0,674.0,11.0,0.0,3045.0,41.0,27.0,Charged Off
16000.0, 60 months,7.91,323.74,A,A5,2 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,28.58,730.0,734.0,19.0,0.0,10034.0,30.3,22.0,Current
6000.0, 36 months,13.44,203.44,C,C3,3 years,OWN,38700.0,Source Verified,debt_consolidation,23.26,690.0,694.0,4.0,0.0,1960.0,19.2,10.0,Fully Paid
24000.0, 36 months,9.17,765.1,B,B2,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,10.11,660.0,664.0,14.0,1.0,11763.0,39.5,25.0,Fully Paid
10000.0, 36 months,12.88,336.37,C,C2,< 1 year,RENT,60000.0,Verified,debt_consolidation,3.3,715.0,719.0,5.0,0.0,6727.0,64.1,42.0,Fully Paid
6900.0, 36 months,19.89,256.05,E,E3,10+ years,RENT,80000.0,Source Verified,debt_consolidation,9.57,665.0,669.0,10.0,0.0,4091.0,35.9,16.0,Fully Paid
22400.0, 60 months,9.8,473.74,B,B3,10+ years,MORTGAGE,48000.0,Not Verified,credit_card,28.48,705.0,709.0,9.0,0.0,24298.0,55.7,18.0,Current
15975.0, 36 months,16.59,566.3,D,D2,4 years,MORTGAGE,58800.0,Not Verified,debt_consolidation,20.45,665.0,669.0,11.0,0.0,9196.0,71.8,23.0,Fully Paid
21600.0, 36 months,13.44,732.38,C,C3,9 years,MORTGAGE,54000.0,Verified,debt_consolidation,17.64,690.0,694.0,9.0,0.0,26438.0,60.8,30.0,Fully Paid
24000.0, 60 months,13.99,558.32,C,C4,8 years,RENT,82193.0,Not Verified,credit_card,29.92,695.0,699.0,15.0,0.0,14714.0,48.2,34.0,Current
14400.0, 60 months,19.48,377.36,E,E2,3 years,RENT,73320.0,Source Verified,debt_consolidation,17.02,660.0,664.0,9.0,0.0,12105.0,96.8,19.0,Charged Off
8000.0, 36 months,13.99,273.39,C,C4,< 1 year,RENT,42000.0,Not Verified,other,23.26,705.0,709.0,8.0,0.0,4414.0,40.5,10.0,Fully Paid
7000.0, 36 months,13.99,239.21,C,C4,2 years,RENT,83000.0,Source Verified,debt_consolidation,21.96,680.0,684.0,11.0,0.0,17866.0,83.1,28.0,Fully Paid
20000.0, 36 months,10.78,652.7,B,B4,< 1 year,OWN,55000.0,Not Verified,debt_consolidation,36.94,740.0,744.0,18.0,1.0,24365.0,43.0,32.0,Fully Paid
25825.0, 60 months,26.06,774.14,F,F5,6 years,RENT,68000.0,Verified,debt_consolidation,31.68,675.0,679.0,18.0,0.0,20769.0,69.7,33.0,Charged Off
24575.0, 60 months,22.45,685.04,F,F1,10+ years,MORTGAGE,92000.0,Verified,debt_consolidation,24.16,725.0,729.0,8.0,0.0,25225.0,79.3,27.0,Fully Paid
3200.0, 36 months,8.49,101.01,B,B1,10+ years,RENT,30407.0,Not Verified,medical,20.61,710.0,714.0,5.0,0.0,1061.0,30.3,13.0,Fully Paid
22875.0, 60 months,15.77,553.49,D,D1,10+ years,MORTGAGE,137000.0,Not Verified,debt_consolidation,32.3,700.0,704.0,22.0,0.0,44174.0,45.8,62.0,Fully Paid
16000.0, 60 months,14.85,379.39,C,C5,10+ years,MORTGAGE,80000.0,Not Verified,debt_consolidation,19.59,700.0,704.0,14.0,0.0,11113.0,83.6,26.0,Current
35000.0, 36 months,13.44,1186.72,C,C3,< 1 year,MORTGAGE,125000.0,Source Verified,debt_consolidation,24.19,710.0,714.0,15.0,0.0,47300.0,51.9,26.0,Fully Paid
2400.0, 36 months,17.27,85.89,D,D3,2 years,MORTGAGE,52000.0,Verified,home_improvement,28.38,670.0,674.0,16.0,1.0,7763.0,41.5,18.0,Fully Paid
25000.0, 36 months,7.49,777.55,A,A4,,MORTGAGE,132000.0,Not Verified,debt_consolidation,13.83,745.0,749.0,14.0,0.0,33231.0,48.0,32.0,Fully Paid
8800.0, 36 months,12.88,296.0,C,C2,2 years,RENT,55000.0,Not Verified,credit_card,35.52,715.0,719.0,20.0,0.0,11331.0,37.5,29.0,Fully Paid
2500.0, 36 months,11.48,82.42,B,B5,,RENT,16488.0,Not Verified,debt_consolidation,38.06,770.0,774.0,12.0,0.0,2469.0,8.2,18.0,Fully Paid
8000.0, 36 months,5.32,240.92,A,A1,1 year,RENT,50000.0,Not Verified,credit_card,14.86,715.0,719.0,21.0,0.0,6452.0,35.1,64.0,Fully Paid
20000.0, 36 months,11.99,664.2,C,C1,10+ years,MORTGAGE,78000.0,Not Verified,debt_consolidation,27.1,705.0,709.0,15.0,0.0,40405.0,48.2,37.0,Charged Off
35000.0, 60 months,12.88,794.21,C,C2,10+ years,MORTGAGE,110000.0,Source Verified,major_purchase,13.39,695.0,699.0,19.0,0.0,23315.0,47.2,32.0,Charged Off
15000.0, 36 months,7.49,466.53,A,A4,,MORTGAGE,45000.0,Verified,debt_consolidation,10.67,710.0,714.0,10.0,0.0,16173.0,43.5,20.0,Fully Paid
16000.0, 36 months,15.77,560.7,D,D1,1 year,MORTGAGE,70000.0,Not Verified,debt_consolidation,8.78,705.0,709.0,7.0,0.0,15986.0,76.1,25.0,Charged Off
10800.0, 60 months,13.99,251.25,C,C4,3 years,RENT,40000.0,Source Verified,debt_consolidation,26.13,665.0,669.0,7.0,2.0,8192.0,71.2,14.0,Fully Paid
7500.0, 36 months,17.97,271.04,D,D4,10+ years,OWN,15000.0,Source Verified,debt_consolidation,37.2,685.0,689.0,8.0,1.0,7933.0,66.7,14.0,Fully Paid
16000.0, 36 months,10.78,522.16,B,B4,5 years,RENT,63000.0,Not Verified,debt_consolidation,35.19,670.0,674.0,12.0,0.0,20672.0,46.0,22.0,Charged Off
9000.0, 36 months,5.32,271.04,A,A1,10+ years,MORTGAGE,49000.0,Not Verified,credit_card,21.63,755.0,759.0,18.0,0.0,8775.0,11.7,29.0,Fully Paid
9500.0, 36 months,15.77,332.92,D,D1,10+ years,RENT,28000.0,Not Verified,other,27.95,695.0,699.0,7.0,0.0,1844.0,55.9,14.0,Fully Paid
